step,max_kl,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,collisions,collisions_human,fuel,circumference,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
82,0.01,0.0001,13.4378,2000,7.60706,7.4217,2.67812,7.61181,0,0,1451.94,640,0.000349821,0.0991254,0.142314,0.0432434,-0.190776,0.276534,0.00180982,-0.0357416,-0.0398446,0,0.00820873,2.44197,0.296945,2194.19
83,0.01,0.0001,13.7127,2000,7.81903,8.13682,2.78286,7.81088,0,0,1437.56,640,0.000542269,0.101781,0.170826,0.069224,-0.014635,0.291299,0.0054401,-0.0692241,-0.0745083,0,0.00664519,2.46419,0.341626,2208.98
84,0.01,0.0001,12.9137,2000,7.41123,7.40453,3.47754,7.4114,0,0,1620.58,640,-5.58566e-05,0.105398,0.127638,0.0222102,-0.30151,0.296589,0.000994753,-0.0222102,-0.0242549,0,0.00742809,2.43549,0.309659,2222.89
85,0.01,0.0001,13.4337,2000,6.93977,7.0851,3.2461,6.93604,0,0,1519.66,640,-0.000143745,0.106507,0.0866392,-0.0203058,-0.932733,0.288032,0.000809366,0.0203058,0.0195076,0,0.00624084,2.48391,0.330718,2237.31
86,0.01,0.0001,13.1128,2000,7.23364,7.51028,3.49425,7.22654,0,0,1610.67,640,3.1712e-05,0.108385,0.137196,0.0288132,-0.55666,0.302824,0.00128455,-0.0288132,-0.0306494,0,0.00682807,2.51134,0.334582,2251.42
87,0.01,0.0001,16.3273,2000,7.72051,7.58748,3.23619,7.72392,0,0,1504.64,640,0.000455357,0.109531,0.182339,0.0731135,-0.0942728,0.320695,0.00610724,-0.0731135,-0.0771916,0,0.00821014,2.48317,0.31672,2268.8
88,0.01,0.0001,8.16508,11,7.7096,2.8277,0.430842,7.82366,2,1,10.3343,640,-0.000264056,0.112088,0.0209623,-0.0911258,-0.708334,0.207338,0.00367881,0.0157497,0.0132865,0,0.00749502,2.50534,0.33984,2291.75
89,0.01,0.0001,13.5288,2000,7.57213,7.58243,2.9668,7.57187,0,0,1480.51,640,0.00035327,0.112726,0.156268,0.0435914,-0.279497,0.310257,0.00494391,-0.0643023,-0.0672396,0,0.00739078,2.50443,0.379517,2306.41
90,0.01,0.0001,13.7241,2000,7.94591,7.88914,2.7684,7.94737,0,0,1487.48,640,0.000828012,0.114625,0.186154,0.0715732,-0.0756725,0.35033,0.00599145,-0.0715732,-0.0769643,0,0.00929375,2.46996,0.358396,2321.31
91,0.01,0.0001,13.4047,2000,7.80925,7.86969,2.4651,7.8077,0,0,1485.48,640,0.000330948,0.117911,0.142109,0.0240114,-0.262234,0.27183,0.00139914,-0.0240114,-0.025745,0,0.00838548,2.45311,0.29491,2335.67
92,0.01,0.0001,13.3282,2000,7.89575,7.70058,3.04585,7.90075,0,0,1594.96,640,0.000536493,0.120058,0.157508,0.0372721,-0.180461,0.282127,0.00234189,-0.0372721,-0.0403434,0,0.00833712,2.43959,0.365844,2350.08
93,0.01,0.0001,10.6451,953,7.13426,7.64748,5.10016,7.12111,2,1,923.254,640,0.000249997,0.122186,0.0395892,-0.0825966,-0.895523,0.311165,0.00480119,0.0089953,0.00608896,0,0.00843966,2.37517,0.320961,2378.45
94,0.01,0.0001,14.669,2000,7.82461,7.506,2.76986,7.83278,0,0,1461.04,640,0.000393923,0.123235,0.156151,0.0328204,-0.162877,0.355386,0.00162074,-0.0194352,-0.021524,0,0.00780831,2.39589,0.233938,2392.65
95,0.01,0.0001,13.4817,2000,7.60929,7.52913,2.79423,7.61135,0,0,1511.32,640,0.0005315,0.126006,0.172075,0.0460164,-0.324475,0.311637,0.00288998,-0.0460164,-0.04885,0,0.00660254,2.41226,0.319588,2407.13
96,0.01,0.0001,13.8158,2000,7.74614,7.92498,3.14251,7.74156,0,0,1541.19,640,0.000513077,0.128175,0.170449,0.0421606,-0.383385,0.310489,0.00255017,-0.0421606,-0.0444698,0,0.00747234,2.40876,0.312984,2421.94
97,0.01,0.0001,13.2162,2000,7.90732,7.70346,2.95776,7.91255,0,0,1453.26,640,0.000502192,0.130824,0.169498,0.0385261,-0.212917,0.36125,0.00245867,-0.0385261,-0.0413995,0,0.00706884,2.40396,0.304165,2436.23
98,0.01,0.0001,13.1671,2000,7.78802,7.42923,2.80484,7.79722,0,0,1475.74,640,0.000394451,0.133249,0.167324,0.0340292,-0.260237,0.288313,0.00208156,-0.0340292,-0.0360821,0,0.00760811,2.40052,0.314101,2450.4
99,0.01,0.0001,12.854,2000,7.63918,7.61619,2.93392,7.63977,0,0,1495.19,640,0.000537016,0.134945,0.195896,0.0610749,-0.551972,0.304866,0.00448778,-0.0610749,-0.0661587,0,0.00891721,2.385,0.324897,2464.31
100,0.01,0.0001,17.093,2000,7.54858,7.68419,3.22397,7.5451,0,0,1532.5,640,0.000397256,0.138598,0.143121,0.00402052,-0.487715,0.340102,0.00086154,-0.00402052,-0.00595327,0,0.00823923,2.36896,0.316469,2482.48
101,0.01,0.0001,10.1273,912,7.31124,8.00733,5.12329,7.29341,2,1,880.685,640,0.000355715,0.140408,0.0437009,-0.0967069,-1.04112,0.222157,0.00780512,0.0337758,0.0305986,0,0.00765917,2.35721,0.265999,2513.87
102,0.01,0.0001,10.7264,1333.33,5.17798,5.15765,1.85511,5.1785,0,0,966.286,640,8.77092e-05,0.141004,0.13861,-0.00227923,-0.590748,0.320337,0.00585927,-0.0703515,-0.0739336,0,0.00715855,2.36221,0.307965,2527.7
103,0.01,0.0001,13.4453,2000,7.80686,8.06887,2.99357,7.80014,0,0,1479.71,640,0.000546632,0.144541,0.222444,0.0782415,-0.180888,0.26229,0.00705768,-0.0782415,-0.0837134,0,0.00843212,2.38582,0.298006,2542.07
